step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.951212881016545,0,0.0,0.8679616338514484,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.817718770181004,0,0.0,0.9976877964501207,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.699527868710634,0,0.0,0.9892926138833125,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.741591953721718,0,0.0,0.9769714878496164,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.46510080356585,0,0.0,0.9032375830280241,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.443781870027752,0,0.0,0.9525721725283274,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.61095564376137,0,0.0,0.9587750398253378,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.050072105304956,0,0.0,0.9895342763581266,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.05010919708651,0,0.0,0.9441156824709629,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.05875395836129,0,0.0,0.9394814061111931,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.08796543790333,0,0.0,0.9473299314500977,0,0.0
70.0,12,0,1,0,12,0,3.0,0.25,12.455066432317745,1,3.0,0.904909579444832,1,3.0
75.0,14,0,1,0,14,0,8.0,0.5714285714285714,12.439572347766855,1,8.0,0.8852270320462287,1,8.0
80.0,14,0,1,0,14,0,13.0,0.9285714285714286,11.91354945552048,1,13.0,0.8557657028413662,1,13.0
85.0,16,0,2,0,16,0,21.0,1.3125,11.418807636158162,2,21.0,0.8316570524425309,2,21.0
90.0,16,0,2,0,16,0,31.0,1.9375,10.831884226381177,2,31.0,0.7908078977964795,2,31.0
95.0,19,1,3,0,19,0,45.0,2.3684210526315788,10.259986301691006,3,45.0,0.7402875066499149,3,45.0
100.0,24,0,5,0,24,0,66.0,2.75,10.200340310512113,5,66.0,0.727944657241655,5,66.0
