step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.030596773780417,0,0.0,0.8038005015338361,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.717249864713569,0,0.0,0.9814855231908508,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.58535069145849,0,0.0,0.9723237001937899,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.95269039374236,0,0.0,0.9378067301170404,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.832170509565362,0,0.0,0.9489627726340067,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.853708219266178,0,0.0,0.9155578511495228,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,14.192546446220684,0,0.0,0.9411087250388248,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.822479420907122,0,0.0,0.9785826093888587,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,14.069377334324953,0,0.0,0.9435718572647926,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.842320569125258,0,0.0,0.9509261070642282,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.668107372241272,0,0.0,0.8727147133650295,0,0.0
70.0,12,0,1,0,12,0,4.0,0.3333333333333333,12.942083966248433,1,4.0,0.891099644442871,1,4.0
75.0,14,0,1,0,14,0,9.0,0.6428571428571429,12.86808320390106,1,9.0,0.8823483254475399,1,9.0
80.0,14,0,1,0,14,0,14.0,1.0,13.192900395368435,1,14.0,0.8898596437318357,1,14.0
85.0,16,0,1,0,16,0,19.0,1.1875,12.862056646593201,1,19.0,0.8923327022267793,1,19.0
90.0,16,0,1,0,16,0,24.0,1.5,12.517358568285262,1,24.0,0.8678897251406391,1,24.0
95.0,20,0,2,0,20,0,32.0,1.6,11.823246811294515,2,32.0,0.8281781749340252,2,32.0
100.0,24,0,3,0,24,0,43.0,1.7916666666666667,11.427905162430973,3,43.0,0.7941771828679698,3,43.0
